Symbol,Item Name ,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-01-28
A005930,매출액(원),"137,825,547,000,000","135,205,045,000,000","133,947,204,000,000","161,915,007,000,000","170,381,870,000,000",,
A005930,영업이익(원),"25,025,071,000,000","26,413,442,000,000","29,240,672,000,000","53,645,038,000,000","58,886,669,000,000",,
A005930,지배주주순이익(원),"23,082,499,000,000","18,694,628,000,000","22,415,655,000,000","41,344,569,000,000","43,890,877,000,000",,
A005930,총자본(원),"168,088,188,000,000","179,059,805,000,000","192,963,033,000,000","214,491,428,000,000","247,753,177,000,000",,
A005930,총부채(원),"62,334,770,000,000","63,119,716,000,000","69,211,291,000,000","87,260,662,000,000","91,604,067,000,000",,
A005930,자본금(원),"897,514,000,000","897,514,000,000","897,514,000,000","897,514,000,000","897,514,000,000",,
A005930,이익잉여금(원),"169,529,604,000,000","185,132,014,000,000","193,086,317,000,000","215,811,200,000,000","242,698,956,000,000",,
A005930,영업활동으로인한현금흐름(원),"36,975,389,000,000","40,061,761,000,000","47,385,644,000,000","62,162,041,000,000","67,031,863,000,000",,
A005930,투자활동으로인한현금흐름(원),"-32,806,408,000,000","-27,167,787,000,000","-29,658,675,000,000","-49,385,216,000,000","-52,240,453,000,000",,
A005930,"수정DPS(보통주,현금)(원)",400.00,420.00,570.00,850.00,"1,416.00",,
A005930,수정주가(원),"26,540","25,200","36,040","50,960","38,700","55,800","58,800"
A005930,상장주식수 (보통+우선)(주),"170,132,764","170,132,764","161,192,764","147,349,074","6,792,669,250","6,792,669,250","6,792,669,250"
A000660,매출액(원),"16,893,716,000,000","18,780,792,000,000","16,733,111,000,000","29,718,939,000,000","40,324,651,000,000",,
A000660,영업이익(원),"5,109,466,000,000","5,336,100,000,000","3,276,746,000,000","13,721,326,000,000","20,843,750,000,000",,
A000660,지배주주순이익(원),"4,195,456,000,000","4,322,356,000,000","2,953,774,000,000","10,641,512,000,000","15,540,111,000,000",,
A000660,총자본(원),"18,036,303,000,000","21,387,703,000,000","24,023,530,000,000","33,820,919,000,000","46,852,331,000,000",,
A000660,총부채(원),"8,846,975,000,000","8,290,203,000,000","8,192,496,000,000","11,597,545,000,000","16,806,004,000,000",,
A000660,자본금(원),"3,657,652,000,000","3,657,652,000,000","3,657,652,000,000","3,657,652,000,000","3,657,652,000,000",,
A000660,이익잉여금(원),"10,276,904,000,000","14,358,988,000,000","17,066,583,000,000","27,287,256,000,000","42,033,601,000,000",,
A000660,영업활동으로인한현금흐름(원),"5,866,691,000,000","9,319,520,000,000","5,548,922,000,000","14,690,614,000,000","22,227,199,000,000",,
A000660,투자활동으로인한현금흐름(원),"-6,087,827,000,000","-7,125,530,000,000","-6,230,451,000,000","-11,919,162,000,000","-21,428,749,000,000",,
A000660,"수정DPS(보통주,현금)(원)",300.00,500.00,600.00,"1,000.00","1,500.00",,
A000660,수정주가(원),"47,750","30,750","44,700","76,500","60,500","94,100","96,300"
A000660,상장주식수 (보통+우선)(주),"728,002,365","728,002,365","728,002,365","728,002,365","728,002,365","728,002,365","728,002,365"
A207940,매출액(원),"105,148,783,570","91,278,028,790","294,622,020,770","464,629,334,140","535,805,801,070",,
A207940,영업이익(원),"-105,197,235,010","-203,642,443,710","-30,422,638,580","65,979,402,410","55,678,744,520",,
A207940,지배주주순이익(원),"-81,891,809,260","1,904,945,916,600","-176,823,409,530","-96,972,115,810","224,109,194,870",,
A207940,총자본(원),"662,114,006,490","2,774,834,158,510","4,082,379,459,570","3,976,450,892,360","4,155,468,451,150",,
A207940,총부채(원),"695,181,201,490","3,185,659,557,940","3,450,636,646,770","3,206,640,270,220","1,824,940,197,150",,
A207940,자본금(원),"101,833,245,000","137,843,605,000","165,412,500,000","165,412,500,000","165,412,500,000",,
A207940,이익잉여금(원),"-287,359,112,360","1,601,530,282,540","1,424,706,873,010","1,327,734,757,200","1,509,718,830,210",,
A207940,영업활동으로인한현금흐름(원),"-163,664,339,170","-265,513,751,570","-62,661,298,030","149,816,327,600","-32,417,327,330",,
A207940,투자활동으로인한현금흐름(원),"-526,469,029,450","-429,481,515,370","-1,372,824,475,920","265,185,302,990","-631,989,919,160",,
A207940,"수정DPS(보통주,현금)(원)",,,,,,,
A207940,수정주가(원),,,"151,000","371,000","386,500","433,000","494,000"
A207940,상장주식수 (보통+우선)(주),,,"66,165,000","66,165,000","66,165,000","66,165,000","66,165,000"
A035420,매출액(원),"1,637,164,959,000","2,141,274,744,000","2,496,498,317,220","2,930,661,324,860","3,459,014,042,550",,
A035420,영업이익(원),"758,199,066,000","830,224,960,870","1,102,040,475,790","1,179,187,806,330","942,532,561,550",,
A035420,지배주주순이익(원),"454,457,462,000","518,746,486,540","749,305,674,070","772,879,579,920","648,812,902,730",,
A035420,총자본(원),"1,797,418,215,000","2,269,578,519,490","4,129,598,862,940","5,305,186,234,950","5,949,140,513,290",,
A035420,총부채(원),"1,597,039,679,000","2,116,334,498,630","2,241,036,317,650","2,714,065,324,970","3,932,050,396,030",,
A035420,자본금(원),"16,481,340,000","16,481,339,500","16,481,339,500","16,481,339,500","16,481,339,500",,
A035420,이익잉여금(원),"2,583,591,599,000","3,069,369,884,000","3,810,189,403,600","4,555,517,868,320","5,229,202,813,050",,
A035420,영업활동으로인한현금흐름(원),"836,558,093,000","851,367,412,450","1,164,024,257,900","939,981,997,690","973,506,368,150",,
A035420,투자활동으로인한현금흐름(원),"-436,149,624,000","-785,858,502,000","-941,712,567,000","-1,310,331,331,650","-388,286,947,220",,
A035420,"수정DPS(보통주,현금)(원)",156.40,220.00,226.20,289.20,314.00,,
A035420,수정주가(원),"142,602","131,787","155,220","174,247","122,000","186,500","178,500"
A035420,상장주식수 (보통+우선)(주),"32,962,679","32,962,679","32,962,679","32,962,679","164,813,395","164,813,395","164,813,395"
A005380,매출액(원),"43,045,875,000,000","44,439,694,000,000","41,713,632,000,000","41,604,869,000,000","43,160,108,000,000",,
A005380,영업이익(원),"7,549,986,000,000","6,357,906,000,000","5,193,500,000,000","4,574,667,000,000","2,422,165,000,000",,
A005380,지배주주순이익(원),"7,346,807,000,000","6,417,303,000,000","5,406,435,000,000","4,032,824,000,000","1,508,084,000,000",,
A005380,총자본(원),"62,620,565,000,000","66,881,401,000,000","72,344,578,000,000","74,757,354,000,000","73,896,010,000,000",,
A005380,총부채(원),"84,604,552,000,000","98,486,545,000,000","106,491,350,000,000","103,442,100,000,000","106,759,742,000,000",,
A005380,자본금(원),"1,488,993,000,000","1,488,993,000,000","1,488,993,000,000","1,488,993,000,000","1,488,993,000,000",,
A005380,이익잉여금(원),"54,649,863,000,000","60,035,088,000,000","64,361,408,000,000","67,332,328,000,000","66,490,082,000,000",,
A005380,영업활동으로인한현금흐름(원),"2,120,845,000,000","1,248,415,000,000","996,964,000,000","3,922,421,000,000","3,764,265,000,000",,
A005380,투자활동으로인한현금흐름(원),"-6,195,010,000,000","-8,060,288,000,000","-6,311,750,000,000","-4,744,413,000,000","-2,415,064,000,000",,
A005380,"수정DPS(보통주,현금)(원)","3,000.00","4,000.00","4,000.00","4,000.00","4,000.00",,
A005380,수정주가(원),"169,000","149,000","146,000","156,000","118,500","120,500","131,000"
A005380,상장주식수 (보통+우선)(주),"285,478,625","285,478,625","285,478,625","285,478,625","276,939,058","276,939,058","276,939,058"
A051910,매출액(원),"19,675,975,000,000","17,334,109,000,000","17,264,845,000,000","20,880,236,000,000","23,315,318,000,000",,
A051910,영업이익(원),"1,310,761,000,000","1,823,568,000,000","1,991,920,000,000","2,928,457,000,000","2,246,070,000,000",,
A051910,지배주주순이익(원),"867,924,000,000","1,152,987,000,000","1,281,124,000,000","1,945,280,000,000","1,472,608,000,000",,
A051910,총자본(원),"12,265,852,000,000","13,103,522,000,000","14,050,967,000,000","16,338,577,000,000","17,322,128,000,000",,
A051910,총부채(원),"5,861,794,000,000","5,475,206,000,000","6,436,093,000,000","8,702,644,000,000","11,622,009,000,000",,
A051910,자본금(원),"369,500,000,000","369,500,000,000","369,500,000,000","391,406,000,000","391,406,000,000",,
A051910,이익잉여금(원),"10,690,605,000,000","11,532,500,000,000","12,462,772,000,000","14,039,250,000,000","14,994,252,000,000",,
A051910,영업활동으로인한현금흐름(원),"1,994,425,000,000","3,172,130,000,000","2,516,697,000,000","3,180,748,000,000","2,124,969,000,000",,
A051910,투자활동으로인한현금흐름(원),"-1,990,659,000,000","-1,697,784,000,000","-1,736,799,000,000","-1,640,356,000,000","-3,639,046,000,000",,
A051910,"수정DPS(보통주,현금)(원)","4,000.00","4,500.00","5,000.00","6,000.00","6,000.00",,
A051910,수정주가(원),"181,000","328,500","261,000","405,000","347,000","317,500","336,500"
A051910,상장주식수 (보통+우선)(주),"73,900,021","73,900,021","73,900,021","78,281,143","78,281,143","78,281,143","78,281,143"
A012330,매출액(원),"18,451,687,000,000","19,079,257,000,000","19,860,589,000,000","19,417,685,000,000","20,517,169,000,000",,
A012330,영업이익(원),"3,141,242,000,000","2,934,571,000,000","2,904,692,000,000","2,024,929,000,000","2,024,957,000,000",,
A012330,지배주주순이익(원),"3,422,410,000,000","3,055,414,000,000","3,037,785,000,000","1,568,152,000,000","1,888,804,000,000",,
A012330,총자본(원),"23,286,103,000,000","25,676,240,000,000","28,557,989,000,000","29,358,958,000,000","30,703,428,000,000",,
A012330,총부채(원),"15,825,813,000,000","12,098,593,000,000","13,153,619,000,000","12,377,861,000,000","12,367,704,000,000",,
A012330,자본금(원),"491,096,000,000","491,096,000,000","491,096,000,000","491,096,000,000","491,096,000,000",,
A012330,이익잉여금(원),"22,027,464,000,000","24,811,865,000,000","27,520,860,000,000","28,780,083,000,000","30,095,474,000,000",,
A012330,영업활동으로인한현금흐름(원),"846,587,000,000","4,351,865,000,000","2,017,786,000,000","1,948,742,000,000","1,610,128,000,000",,
A012330,투자활동으로인한현금흐름(원),"-186,575,000,000","-4,948,606,000,000","-2,124,488,000,000","-1,065,543,000,000","-943,963,000,000",,
A012330,"수정DPS(보통주,현금)(원)","3,000.00","3,500.00","3,500.00","3,500.00","4,000.00",,
A012330,수정주가(원),"236,000","246,500","264,000","263,000","190,000","256,000","245,000"
A012330,상장주식수 (보통+우선)(주),"97,347,837","97,343,863","97,343,863","97,343,863","97,343,863","95,306,694","95,306,694"
A068270,매출액(원),"404,621,867,930","528,784,432,680","577,574,961,770","828,917,201,750","861,884,226,310",,
A068270,영업이익(원),"201,468,888,030","258,954,318,710","249,694,241,820","507,828,939,200","338,694,787,470",,
A068270,지배주주순이익(원),"112,676,335,300","154,089,612,460","177,994,501,810","382,467,031,680","261,841,768,570",,
A068270,총자본(원),"1,347,781,344,650","1,809,840,731,290","2,198,966,800,900","2,431,929,394,110","2,632,777,861,610",,
A068270,총부채(원),"974,603,694,150","938,389,810,420","822,974,206,570","883,598,310,540","907,848,812,350",,
A068270,자본금(원),"103,569,771,000","112,431,663,000","116,598,327,000","122,666,424,000","125,456,133,000",,
A068270,이익잉여금(원),"845,040,432,010","994,024,761,470","1,168,690,913,280","1,449,703,520,880","1,701,825,879,780",,
A068270,영업활동으로인한현금흐름(원),"145,158,529,420","77,566,858,430","250,888,340,240","497,451,111,950","382,091,440,050",,
A068270,투자활동으로인한현금흐름(원),"-106,337,549,780","-166,937,621,740","-162,494,826,000","-245,103,611,350","-193,141,610,390",,
A068270,"수정DPS(보통주,현금)(원)",0.00,0.00,0.00,0.00,0.00,,
A068270,수정주가(원),"33,100","74,119","98,855","207,554","212,520","181,000","170,500"
A068270,상장주식수 (보통+우선)(주),"103,569,771","112,431,663","116,598,327","122,666,424","125,456,133","128,337,853","128,337,853"
A028260,매출액(원),"3,312,659,234,370","8,885,125,467,390","20,001,558,969,090","20,442,825,136,860","20,833,131,447,380",,
A028260,영업이익(원),"213,411,367,910","37,138,349,420","139,524,591,270","881,268,354,840","1,103,890,168,250",,
A028260,지배주주순이익(원),"455,646,974,930","2,746,812,304,950","107,356,946,860","639,797,943,420","1,712,790,156,800",,
A028260,총자본(원),"5,285,289,848,370","18,313,935,618,340","21,105,710,686,970","25,151,250,126,390","22,548,935,047,750",,
A028260,총부채(원),"4,226,141,563,080","24,047,495,346,800","23,352,804,702,690","23,897,652,811,020","19,857,716,709,970",,
A028260,자본금(원),"13,500,000,000","19,131,748,300","19,131,748,300","19,131,748,300","19,131,748,300",,
A028260,이익잉여금(원),"2,482,276,497,720","5,210,896,118,170","5,229,977,558,800","5,755,405,107,850","6,949,464,720,070",,
A028260,영업활동으로인한현금흐름(원),"143,113,872,520","-62,347,860,140","1,355,395,243,270","1,312,436,320,460","1,678,376,806,440",,
A028260,투자활동으로인한현금흐름(원),"54,449,962,110","2,368,631,864,970","-812,089,431,940","279,938,212,240","167,791,949,790",,
A028260,"수정DPS(보통주,현금)(원)",,500.00,550.00,"2,000.00","2,000.00",,
A028260,수정주가(원),"158,000","140,000","125,500","126,000","105,500","108,500","112,000"
A028260,상장주식수 (보통+우선)(주),"135,000,000","191,317,483","191,317,483","191,317,483","191,317,483","191,317,483","191,317,483"
A005490,매출액(원),"29,218,854,280,340","25,607,220,942,250","24,324,933,260,000","28,553,814,576,380","30,659,425,433,520",,
A005490,영업이익(원),"3,213,530,266,000","2,410,042,582,000","2,844,324,579,000","4,621,833,654,000","5,542,599,677,000",,
A005490,지배주주순이익(원),"626,099,302,940","180,646,881,970","1,363,309,633,130","2,790,105,745,200","1,690,612,430,740",,
A005490,총자본(원),"45,291,364,177,640","45,070,221,969,930","45,838,394,305,600","47,464,008,540,640","46,759,550,870,410",,
A005490,총부채(원),"39,960,808,435,150","35,338,537,276,360","33,924,600,214,020","31,560,950,538,890","31,488,714,346,330",,
A005490,자본금(원),"482,403,125,000","482,403,125,000","482,403,125,000","482,403,125,000","482,403,125,000",,
A005490,이익잉여금(원),"40,967,557,625,550","40,501,058,846,070","41,173,778,130,130","43,056,599,815,080","44,216,018,006,790",,
A005490,영업활동으로인한현금흐름(원),"3,412,099,309,520","7,601,828,931,640","5,269,417,624,170","5,607,310,243,860","5,869,724,523,650",,
A005490,투자활동으로인한현금흐름(원),"-3,745,181,888,260","-4,534,676,340,380","-3,754,627,358,320","-3,817,874,626,490","-2,647,969,547,710",,
A005490,"수정DPS(보통주,현금)(원)","8,000.00","8,000.00","8,000.00","8,000.00","10,000.00",,
A005490,수정주가(원),"275,500","166,500","257,500","332,500","243,000","236,500","226,000"
A005490,상장주식수 (보통+우선)(주),"87,186,835","87,186,835","87,186,835","87,186,835","87,186,835","87,186,835","87,186,835"
A006400,매출액(원),"4,720,208,061,000","4,208,369,146,850","4,422,860,766,600","5,445,917,363,240","8,186,909,424,220",,
A006400,영업이익(원),"70,817,508,600","-267,493,894,540","-926,332,634,000","116,894,786,520","714,970,606,150",,
A006400,지배주주순이익(원),"-83,847,754,500","53,846,137,610","219,405,853,320","657,236,340,930","701,166,336,930",,
A006400,총자본(원),"11,826,911,292,000","11,253,192,852,850","10,964,110,226,960","11,451,999,497,440","12,225,219,216,190",,
