Symbol,Kind,Item Name ,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-01-31
A005930,NFS-IFRS(C),매출액(천원),"206,205,987,000","200,653,482,000","201,866,745,000","239,575,376,000","243,771,415,000",,
A005930,NFS-IFRS(S),매출액(천원),"137,825,547,000","135,205,045,000","133,947,204,000","161,915,007,000","170,381,870,000",,
A005930,NFS-IFRS(C),영업이익(천원),"25,025,071,000","26,413,442,000","29,240,672,000","53,645,038,000","58,886,669,000",,
A005930,NFS-IFRS(C),지배주주순이익(천원),"23,082,499,000","18,694,628,000","22,415,655,000","41,344,569,000","43,890,877,000",,
A005930,NFS-IFRS(C),총자본(천원),"168,088,188,000","179,059,805,000","192,963,033,000","214,491,428,000","247,753,177,000",,
A005930,NFS-IFRS(C),총부채(천원),"62,334,770,000","63,119,716,000","69,211,291,000","87,260,662,000","91,604,067,000",,
A005930,NFS-IFRS(C),자본금(천원),"897,514,000","897,514,000","897,514,000","897,514,000","897,514,000",,
A005930,NFS-IFRS(C),이익잉여금(천원),"169,529,604,000","185,132,014,000","193,086,317,000","215,811,200,000","242,698,956,000",,
A005930,NFS-IFRS(C),영업활동으로인한현금흐름(천원),"36,975,389,000","40,061,761,000","47,385,644,000","62,162,041,000","67,031,863,000",,
A005930,NFS-IFRS(C),투자활동으로인한현금흐름(천원),"-32,806,408,000","-27,167,787,000","-29,658,675,000","-49,385,216,000","-52,240,453,000",,
A005930,NFCF-IFRS(C),"수정DPS(보통주,현금)(원)",400.00,420.00,570.00,850.00,"1,416.00",,
A005930,SSC,수정주가(원),"26,540","25,200","36,040","50,960","38,700","55,800","56,400"
A005930,SSC,종가(원),"1,327,000","1,260,000","1,802,000","2,548,000","38,700","55,800","56,400"
A005930,SSC,상장주식수(주),"147,299,337","147,299,337","140,679,337","129,098,494","5,969,782,550","5,969,782,550","5,969,782,550"
A000660,NFS-IFRS(C),매출액(천원),"17,125,566,000","18,797,998,000","17,197,975,000","30,109,434,000","40,445,066,000",,
A000660,NFS-IFRS(S),매출액(천원),"16,893,716,000","18,780,792,000","16,733,111,000","29,718,939,000","40,324,651,000",,
A000660,NFS-IFRS(C),영업이익(천원),"5,109,466,000","5,336,100,000","3,276,746,000","13,721,326,000","20,843,750,000",,
A000660,NFS-IFRS(C),지배주주순이익(천원),"4,195,456,000","4,322,356,000","2,953,774,000","10,641,512,000","15,540,111,000",,
A000660,NFS-IFRS(C),총자본(천원),"18,036,303,000","21,387,703,000","24,023,530,000","33,820,919,000","46,852,331,000",,
A000660,NFS-IFRS(C),총부채(천원),"8,846,975,000","8,290,203,000","8,192,496,000","11,597,545,000","16,806,004,000",,
A000660,NFS-IFRS(C),자본금(천원),"3,657,652,000","3,657,652,000","3,657,652,000","3,657,652,000","3,657,652,000",,
A000660,NFS-IFRS(C),이익잉여금(천원),"10,276,904,000","14,358,988,000","17,066,583,000","27,287,256,000","42,033,601,000",,
A000660,NFS-IFRS(C),영업활동으로인한현금흐름(천원),"5,866,691,000","9,319,520,000","5,548,922,000","14,690,614,000","22,227,199,000",,
A000660,NFS-IFRS(C),투자활동으로인한현금흐름(천원),"-6,087,827,000","-7,125,530,000","-6,230,451,000","-11,919,162,000","-21,428,749,000",,
A000660,NFCF-IFRS(C),"수정DPS(보통주,현금)(원)",300.00,500.00,600.00,"1,000.00","1,500.00",,
A000660,SSC,수정주가(원),"47,750","30,750","44,700","76,500","60,500","94,100","93,500"
A000660,SSC,종가(원),"47,750","30,750","44,700","76,500","60,500","94,100","93,500"
A000660,SSC,상장주식수(주),"728,002,365","728,002,365","728,002,365","728,002,365","728,002,365","728,002,365","728,002,365"
A207940,NFS-IFRS(C),매출액(천원),"105,399,040","91,278,029","294,622,021","464,629,334","535,805,801",,
A207940,NFS-IFRS(S),매출액(천원),"105,148,784","91,278,029","294,622,021","464,629,334","535,805,801",,
A207940,NFS-IFRS(C),영업이익(천원),"-105,197,235","-203,642,444","-30,422,639","65,979,402","55,678,745",,
A207940,NFS-IFRS(C),지배주주순이익(천원),"-81,891,809","1,904,945,917","-176,823,410","-96,972,116","224,109,195",,
A207940,NFS-IFRS(C),총자본(천원),"662,114,006","2,774,834,159","4,082,379,460","3,976,450,892","4,155,468,451",,
A207940,NFS-IFRS(C),총부채(천원),"695,181,201","3,185,659,558","3,450,636,647","3,206,640,270","1,824,940,197",,
A207940,NFS-IFRS(C),자본금(천원),"101,833,245","137,843,605","165,412,500","165,412,500","165,412,500",,
A207940,NFS-IFRS(C),이익잉여금(천원),"-287,359,112","1,601,530,283","1,424,706,873","1,327,734,757","1,509,718,830",,
A207940,NFS-IFRS(C),영업활동으로인한현금흐름(천원),"-163,664,339","-265,513,752","-62,661,298","149,816,328","-32,417,327",,
A207940,NFS-IFRS(C),투자활동으로인한현금흐름(천원),"-526,469,029","-429,481,515","-1,372,824,476","265,185,303","-631,989,919",,
A207940,NFCF-IFRS(C),"수정DPS(보통주,현금)(원)",,,,,,,
A207940,SSC,수정주가(원),,,"151,000","371,000","386,500","433,000","484,500"
A207940,SSC,종가(원),,,"151,000","371,000","386,500","433,000","484,500"
A207940,SSC,상장주식수(주),,,"66,165,000","66,165,000","66,165,000","66,165,000","66,165,000"
A035420,NFS-IFRS(C),매출액(천원),"2,758,478,837","3,253,930,352","4,022,629,620","4,678,468,928","5,586,904,533",,
A035420,NFS-IFRS(S),매출액(천원),"1,637,164,959","2,141,274,744","2,496,498,317","2,930,661,325","3,459,014,043",,
A035420,NFS-IFRS(C),영업이익(천원),"758,199,066","830,224,961","1,102,040,476","1,179,187,806","942,532,562",,
A035420,NFS-IFRS(C),지배주주순이익(천원),"454,457,462","518,746,487","749,305,674","772,879,580","648,812,903",,
A035420,NFS-IFRS(C),총자본(천원),"1,797,418,215","2,269,578,519","4,129,598,863","5,305,186,235","5,949,140,513",,
