상장코드,기업이름
A005930,삼성전자
A000660,SK하이닉스
A207940,삼성바이오로직스
A035420,NAVER
A005380,현대차
A051910,LG화학
A068270,셀트리온
A012330,현대모비스
A028260,삼성물산
A006400,삼성SDI
A051900,LG생활건강
A005490,POSCO
A055550,신한지주
A105560,KB금융
A017670,SK텔레콤
A034730,SK
A000270,기아차
A015760,한국전력
A018260,삼성에스디에스
A036570,엔씨소프트
A035720,카카오
A032830,삼성생명
A003550,LG
A033780,KT&G
A096770,SK이노베이션
A066570,LG전자
A090430,아모레퍼시픽
A086790,하나금융지주
A009150,삼성전기
A000810,삼성화재
A091990,셀트리온헬스케어
A010950,S-Oil
A009540,한국조선해양
A251270,넷마블
A010130,고려아연
A316140,우리금융지주
A011170,롯데케미칼
A030200,KT
A021240,웅진코웨이
A024110,기업은행
A034220,LG디스플레이
A035250,강원랜드
A032640,LG유플러스
A018880,한온시스템
A002790,아모레G
A086280,현대글로비스
A267250,현대중공업지주
A006800,미래에셋대우
A000720,현대건설
A028300,에이치엘비
A029780,삼성카드
A078930,GS
A271560,오리온
A010140,삼성중공업
A004020,현대제철
A071050,한국금융지주
A008770,호텔신라
A097950,CJ제일제당
A011070,LG이노텍
A003670,포스코케미칼
A004990,롯데지주
A161390,한국타이어앤테크놀로지
A128940,한미약품
A012750,에스원
A028050,삼성엔지니어링
A000120,CJ대한통운
A023530,롯데쇼핑
A016360,삼성증권
A005940,NH투자증권
A005830,DB손해보험
A035760,CJ ENM
A139480,이마트
A036460,한국가스공사
A007070,GS리테일
A241560,두산밥캣
A047810,한국항공우주
A009830,한화솔루션
A000100,유한양행
A000210,대림산업
A282330,BGF리테일
A004170,신세계
A042660,대우조선해양
A081660,휠라홀딩스
A012510,더존비즈온
A003490,대한항공
A003410,쌍용양회
A001040,CJ
A030000,제일기획
A180640,한진칼
A263750,펄어비스
A006360,GS건설
A008560,메리츠종금증권
A020150,일진머티리얼즈
A253450,스튜디오드래곤
A138930,BNK금융지주
A079440,오렌지라이프
A008930,한미사이언스
A028670,팬오션
A011780,금호석유
A011790,SKC
A032500,케이엠더블유
A001450,현대해상
A047050,포스코인터내셔널
A000080,하이트진로
A086900,메디톡스
A047040,대우건설
A007310,오뚜기
A069960,현대백화점
A145020,휴젤
A002380,KCC
A088350,한화생명
A009240,한샘
A036490,SK머티리얼즈
A000060,메리츠화재
A240810,원익IPS
A012450,한화에어로스페이스
A084990,헬릭스미스
A010620,현대미포조선
A000880,한화
A036830,솔브레인
A039490,키움증권
A017800,현대엘리베이
A051600,한전KPS
A204320,만도
A034230,파라다이스
A026960,동서
A007700,F&F
A004800,효성
A068760,셀트리온제약
A013890,지누스
A056190,에스에프에이
A181710,NHN
A010120,LS산전
A140410,메지온
A031430,신세계인터내셔날
A214320,이노션
A084850,아이티엠반도체
A006280,녹십자
A247540,에코프로비엠
A004370,농심
A138040,메리츠금융지주
A009420,한올바이오파마
A294870,HDC현대산업개발
A010060,OCI
A069620,대웅제약
A111770,영원무역
A078340,컴투스
A006260,LS
A082270,젬백스
A039030,이오테크닉스
A098460,고영
A095700,제넥신
A064350,현대로템
A000990,DB하이텍
A014680,한솔케미칼
A001740,SK네트웍스
A058470,리노공업
A000240,한국테크놀로지그룹
A011210,현대위아
A067630,에이치엘비생명과학
A114090,GKL
A120110,코오롱인더
A000670,영풍
A196170,알테오젠
A178920,SKC코오롱PI
A034020,두산중공업
A139130,DGB금융지주
A011200,현대상선
A073240,금호타이어
A003520,영진약품
A020560,아시아나항공
A030190,NICE평가정보
A009410,태영건설
A000150,두산
A042670,두산인프라코어
A161890,한국콜마
A003690,코리안리
A272210,한화시스템
A185750,종근당
A003240,태광산업
A001800,오리온홀딩스
A004000,롯데정밀화학
A175330,JB금융지주
A005300,롯데칠성
A005440,현대그린푸드
A241590,화승엔터프라이즈
A003000,부광약품
A307950,현대오토에버
A005250,녹십자홀딩스
A032350,롯데관광개발
A214150,클래시스
A005290,동진쎄미켐
A057050,현대홈쇼핑
A010780,아이에스동서
A035900,JYP Ent.
A280360,롯데제과
A215600,신라젠
A192080,더블유게임즈
A046890,서울반도체
A041960,코미팜
A298380,에이비엘바이오
A036540,SFA반도체
A028150,GS홈쇼핑
A049770,동원F&B
A284740,쿠쿠홈시스
A023590,다우기술
A336370,두산솔루스
A096530,씨젠
A005850,에스엘
A034310,NICE
A093370,후성
A200130,콜마비앤에이치
A214370,케어젠
A285130,SK케미칼
A170900,동아에스티
A018250,애경산업
A041510,에스엠
A025980,아난티
A069260,휴켐스
A086450,동국제약
