,공시고유번호,상장코드,최종수정일,회사명
0,00434003, ,20170630,다코
0,00434456, ,20170630,일산약품
0,00430964, ,20170630,굿앤엘에스
0,00432403, ,20170630,한라판지
0,00388953, ,20170630,크레디피아제이십오차유동화전문회사
0,00179984, ,20170630,연방건설산업
0,00420143, ,20170630,브룩스피알아이오토메이션잉크
0,00401111, ,20170630,매경아이비아이
0,00435534, ,20170630,캐드뱅크
0,00430186, ,20170630,엠와이오피삼차유동화전문유한회사
0,00430201, ,20170630,엠와이오피이차유동화전문유한회사
0,00430210, ,20170630,엠와이오피일차유동화전문유한회사
0,00430229, ,20170630,포스미디어
0,00140432, ,20170630,축복할렐루야
0,00426208, ,20170630,한국전자화학
0,00433262, ,20170630,ConnachtCapitalMarketInvestmentLtd.
0,00433749, ,20170630,선진아이티
0,00433785, ,20170630,팀스코리아
0,00196079, ,20170630,에넥스하이테크
0,00435048, ,20170630,세이스텝바이스텝혼합형펀드
0,00435057, ,20170630,유리알파헷지채권혼합형펀드
0,00108843, ,20170630,한기술정보통신
0,00443232, ,20170630,다움종합건설
0,00248293, ,20170630,한국애치슨
0,00455662, ,20170630,고은상사
0,00149318, ,20170630,조흥종합건설
0,00451347, ,20170630,유니즈유통
0,00415105, ,20170630,창대화장품
0,00420824, ,20170630,문화종합건설
0,00389439, ,20170630,한국종합미디어
0,00454016, ,20170630,아이펜텍
0,00452072, ,20170630,대홍염공
0,00437602, ,20170630,지오항공여행사
0,00365518, ,20170630,헤이아니타코리아
0,00246967, ,20170630,태산산업개발
0,00445559, ,20170630,군포종합시장
0,00272519, ,20170630,훼미모드
0,00444657, ,20170630,기우
0,00448936, ,20170630,라시도
0,00405658, ,20170630,예전미디어
0,00410818, ,20170630,세미가
0,00416061, ,20170630,대닉스
0,00448909, ,20170630,인포핸드
0,00445407, ,20170630,지현개발
0,00421647, ,20170630,한국부동산신탁제일차유동화전문유한회사
0,00421425, ,20170630,ISCCaymanLtd.
0,00423265, ,20170630,연산
0,00423292, ,20170630,씨케이알유동화전문유한회사
0,00420602, ,20170630,디에스피
0,00307505, ,20170630,LOMBARDKOREAILIMITED
0,00218229, ,20170630,승진씨앤씨
0,00241397, ,20170630,우신투자자문
0,00421896, ,20170630,외환카드제오차유동화전문유한회사
0,00365712, ,20170630,태연
0,00388616, ,20170630,글로벌금강제일차유동화전문유한회사
0,00230407, ,20170630,글로벌렌탈
0,00423566, ,20170630,뤼미에르에셋
0,00423274, ,20170630,바사라엔터테인먼트
0,00419688, ,20170630,대백유동화전문유한회사
0,00419712, ,20170630,아이키키
0,00414665, ,20170630,진명씨앤씨
0,00421869, ,20170630,한경핫벤처
0,00421957, ,20170630,우리부동산제일차유동화전문유한회사
0,00255442, ,20170630,영진상운
0,00427517, ,20170630,한국토지신탁제오차유동화전문유한회사
0,00376152, ,20170630,다드림커뮤니케이션
0,00382241, ,20170630,ARISAIGASIANSMALLCOMPANIESFUND(L)BHD
0,00431501, ,20170630,싱가포르개발은행서울지점
0,00434270, ,20170630,삼성인덱스프리미엄30혼합형뮤추얼펀드
0,00434289, ,20170630,KTB혼합형펀드
0,00434298, ,20170630,KTB플러스찬스혼합형펀드
0,00434313, ,20170630,KTB포트폴리오스타혼합형펀드
0,00434322, ,20170630,KTB에버스타혼합형펀드
0,00429463, ,20170630,나노이앤씨
0,00429515, ,20170630,지산엔터프라이즈
0,00432175, ,20170630,유아이에스코리아
0,00387033, ,20170630,트리플에스유동화전문유한회사
0,00384045, ,20170630,크레디피아제이십일차유동화전문유한회사
0,00431608, ,20170630,싱가포르개발은행
0,00431705, ,20170630,엘지팩토링제일차유동화전문유한회사
0,00430256, ,20170630,이피에스뱅크
0,00431167, ,20170630,이라이프네트워크
0,00432315, ,20170630,덕성
0,00413134, ,20170630,타오건설
0,00435376, ,20170630,장원코리아
0,00110909, ,20170630,대신통상
0,00245995, ,20170630,삼광제지공업
0,00220695, ,20170630,서울교육
0,00211794, ,20170630,보성패션
0,00454496, ,20170630,넥스탑
0,00455592, ,20170630,마니빌
0,00370796, ,20170630,제이엘코프
0,00199401, ,20170630,컴마을
0,00369596, ,20170630,삼신크리에이션
0,00210078, ,20170630,호한통상
0,00363398, ,20170630,케이엠티
0,00110042, ,20170630,대백가구
0,00364324, ,20170630,청빛산업개발
0,00248017, ,20170630,삼양전자
0,00452179, ,20170630,숭민코리아유통
0,00413754, ,20170630,유오티앤씨
0,00343163, ,20170630,한라스페코중공업
0,00452513, ,20170630,알본
0,00435978, ,20170630,상일디지털
0,00368153, ,20170630,서전어패럴
0,00455149, ,20170630,웰비스트랜스
0,00249946, ,20170630,한국키엔스
0,00110839, ,20170630,대신생명보험
0,00293798, ,20170630,대성메디테크
0,00113119, ,20170630,대한알루미늄공업
0,00424389, ,20170630,남성엠케이
0,00424486, ,20170630,씨엠액텍
0,00224734, ,20170630,한국부동산신탁
0,00197713, ,20170630,주은산업
0,00421948, ,20170630,신엘지프라이머리제이차유동화전문유한회사
0,00422381, ,20170630,데코제일차유동화전문유한회사
0,00350446, ,20170630,뉴스테이트삼차모기지유동화전문유한회사
0,00396642, ,20170630,엘지수퍼센터
0,00425449, ,20170630,아이클릭세븐
0,00425458, ,20170630,월드인코레스
0,00425333, ,20170630,코리아픽시컴
0,00424617, ,20170630,산은부동산제사차유동화전문유한회사
0,00424006, ,20170630,글로벌자이언트시스템
0,00424051, ,20170630,신클레어
0,00403599, ,20170630,에이에스피기업구조조정전문
0,00425519, ,20170630,Marubeni-ItochuSteelInc.
0,00224585, ,20170630,신한
0,00429524, ,20170630,우리모아제이차유동화전문유한회사
0,00429533, ,20170630,글로벌사모안정혼합형펀드
0,00432722, ,20170630,파워외환카드제팔차유동화전문유한회사
0,00432786, ,20170630,파워외환카드제오차유동화전문유한회사
0,00429728, ,20170630,영퓨처
0,00428668, ,20170630,코로볼틴펀드리미티드
0,00430751, ,20170630,대창크랑크
0,00385372, ,20170630,허츠제일차유동화전문유한회사
0,00431680, ,20170630,새암교육
0,00386308, ,20170630,반지종합상가
0,00256450, ,20170630,동서산업건설(가칭)
0,00290816, ,20170630,대우종합기계(가칭)
0,00291532, ,20170630,대우조선공업(가칭)
0,00127990, ,20170630,삼일상호저축은행
0,00431565, ,20170630,케이디에스에스
0,00399959, ,20170630,비젼케이파트너스
0,00430238, ,20170630,리버랜드
0,00263034, ,20170630,동양선재
0,00205298, ,20170630,춘천미도파
0,00431042, ,20170630,거버너스M&A사모펀드3호
0,00348715, ,20170630,아이앤비골드문브이에이치
0,00447964, ,20170630,체리미디어
0,00448361, ,20170630,경원하이텍
0,00185851, ,20170630,중원화학
0,00445735, ,20170630,나크나인
0,00385770, ,20170630,동남해상관광호텔
0,00319245, ,20170630,한성선박
0,00126502, ,20170630,삼성콘크리트공업
0,00363440, ,20170630,엠알더블유테크노로지
0,00445522, ,20170630,제이에이치홀딩스
0,00320302, ,20170630,동연산업
0,00444958, ,20170630,우양주택건설
0,00441836, ,20170630,해진하우징
0,00445203, ,20170630,대림전자
0,00445629, ,20170630,효헌산업
0,00454052, ,20170630,우림산업개발
0,00454414, ,20170630,에이스하이테크
0,00196857, ,20170630,해표푸드서비스
0,00413383, ,20170630,에프씨산업
0,00225098, ,20170630,극동뉴메릭
0,00410304, ,20170630,서울드림랜드
0,00310998, ,20170630,한국미라이공업
0,00415114, ,20170630,21세기화장품
0,00451000, ,20170630,광명산업
0,00369985, ,20170630,다음솔루션
0,00199809, ,20170630,이성화학
0,00371670, ,20170630,정우조명
0,00401430, ,20170630,모바일웰컴
0,00247027, ,20170630,푸른건설
0,00144058, ,20170630,월다크
0,00416867, ,20170630,길도건업
0,00456263, ,20170630,원일스포지움
0,00436339, ,20170630,용인자원
0,00120748, ,20170630,마산강관
0,00386724, ,20170630,세창철강공업
0,00255390, ,20170630,재무와정보
0,00455547, ,20170630,대양중공업
0,00233398, ,20170630,이에이지씨
0,00405065, ,20170630,페타코페트로륨
0,00425537, ,20170630,MarubeniCorporation
0,00424158, ,20170630,캐피탈라인
0,00100920, ,20170630,건설증권
0,00370167, ,20170630,일진전자통신
0,00409131, ,20170630,오픈솔루션
0,00424194, ,20170630,AMERICAORIENTALGROUP
0,00125187, ,20170630,삼구상사
0,00364713, ,20170630,mvp창업투자
0,00408901, ,20170630,라이져
0,00161170, ,20170630,한라시멘트
0,00423557, ,20170630,한국알리안츠화재해상보험
0,00307444, ,20170630,코리아벌처투자
0,00370468, ,20170630,티에스케이지
0,00424547, ,20170630,메리츠투자자문
0,00424219, ,20170630,텔레닉스
0,00424185, ,20170630,유니텍워터시스템즈
0,00424556, ,20170630,거륜씨앤씨
0,00121631, ,20170630,문화
0,00424866, ,20170630,모비도미
0,00424884, ,20170630,에이치케이인베스트먼트유동화전문유한회사
0,00424927, ,20170630,LiquidmetalTechnologies
0,00423797, ,20170630,모멘타(케이만)
0,00433350, ,20170630,KTB프라임8호혼합형사모펀드
0,00433369, ,20170630,유리명품장기채권형사모펀드3호
0,00433378, ,20170630,유리유니콘채권혼합형펀드
0,00433387, ,20170630,맥쿼리아이엠엠프라임7호채권형사모펀드
0,00433420, ,20170630,마이에셋애국성장형이호펀드
0,00433457, ,20170630,채권플러스알파2호펀드
0,00433466, ,20170630,마이다스사모프라임안정형2호펀드
0,00376073, ,20170630,테크포인트
0,00234306, ,20170630,부국개발
0,00429418, ,20170630,세닥에듀케이션
0,00429977, ,20170630,에이치엘홀딩스에스에이
0,00340786, ,20170630,크레디리요네증권
0,00218928, ,20170630,케이티인더스트리
0,00106793, ,20170630,김천상호저축은행
0,00378886, ,20170630,이화홀딩스
0,00433484, ,20170630,미래에셋유니온사모혼합형펀드2호
0,00433493, ,20170630,맥쿼리아이엠엠액티브채권형사모펀드3호
0,00433509, ,20170630,맥쿼리아이엠엠프라임6호혼합형사모펀드
0,00433518, ,20170630,유리명품장기채권형사모펀드2호
0,00406596, ,20170630,신우쉬핑
0,00443001, ,20170630,동흥컨설팅
0,00363741, ,20170630,디조콤
0,00436375, ,20170630,맘모스산업개발
0,00222277, ,20170630,아성
0,00446284, ,20170630,디토정보기술
0,00446682, ,20170630,오우디앤씨
0,00139995, ,20170630,에어웨이엑스프레스
0,00444602, ,20170630,탑월드
0,00446433, ,20170630,옥시큐어
0,00150314, ,20170630,진로종합유통
0,00231840, ,20170630,케이에프텍
0,00236243, ,20170630,나토상사
0,00309479, ,20170630,지오이네트
0,00447034, ,20170630,이십일세기종합건설
0,00447496, ,20170630,일현건설
0,00300928, ,20170630,삼영기공
0,00317566, ,20170630,삼능주택
0,00412001, ,20170630,동해
0,00155407, ,20170630,풍광직물
0,00443542, ,20170630,기성텍스타일
0,00179726, ,20170630,제텍스바론
0,00300982, ,20170630,국제개발
0,00298818, ,20170630,유유후마킬라
0,00424644, ,20170630,피앤씨미디어
0,00350570, ,20170630,비앤에프투자자문
0,00424316, ,20170630,한국부동산신탁제이차유동화전문유한회사
0,00368551, ,20170630,에이텍
0,00424307, ,20170630,덕경종합건설
0,00425078, ,20170630,글로벌스페셜혼합형사모펀드
0,00154499, ,20170630,태화
0,00424653, ,20170630,씨앤앰유동화전문유한회사
0,00414522, ,20170630,온누리방송
0,00425120, ,20170630,케이티엠
0,00356723, ,20170630,아이앤비골드문컨설팅
0,00375506, ,20170630,동국제강제일차유동화전문유한회사
0,00424769, ,20170630,밸류노믹스기업구조조정전문회사
0,00223300, ,20170630,조창
0,00378178, ,20170630,테크노켐
0,00360294, ,20170630,영지통상
0,00425209, ,20170630,RosewellConsulting&InvestmentLtd.
0,00433527, ,20170630,유리시티즌장기채권형사모펀드
0,00433536, ,20170630,KTB장기채권형사모펀드3호
0,00433545, ,20170630,KTB장기채권형사모펀드4호
0,00433554, ,20170630,맥쿼리아이엠엠포세이돈채권형사모펀드4호
0,00433563, ,20170630,마이에셋애국안정형1호펀드
0,00434702, ,20170630,노보스
0,00434711, ,20170630,세이유니온채권혼합형사모펀드
0,00434720, ,20170630,LG드림혼합형펀드
0,00434739, ,20170630,알파그로스주식형펀드
0,00434748, ,20170630,유리알파헷지채권혼합형사모펀드
0,00434757, ,20170630,알파헷지이기욱혼합형펀드
0,00434775, ,20170630,맥쿼리IMM홀인원채권형펀드
0,00434793, ,20170630,유리시장중립채권형사모펀드
0,00434809, ,20170630,유리알파30채권혼합형사모펀드
0,00432573, ,20170630,파워외환카드제사차유동화전문유한회사
0,00432607, ,20170630,파워외환카드제이차유동화전문유한회사
0,00432643, ,20170630,케드제이차유동화전문유한회사
0,00323390, ,20170630,굿윌경영자문
0,00412861, ,20170630,국제금속산업
0,00443913, ,20170630,덕정무역
0,00315179, ,20170630,삼성코닝마이크로옵틱스
0,00165264, ,20170630,혜성건설
0,00368171, ,20170630,코스모에쿼티파트너스
0,00369480, ,20170630,경빈
0,00446196, ,20170630,내외시스템
0,00108311, ,20170630,태승어패럴
0,00105615, ,20170630,금동조명
0,00360197, ,20170630,태광정밀공업
0,00360364, ,20170630,게르마니셀로이드코리아
0,00366720, ,20170630,청우제강
0,00273536, ,20170630,필리아텔레콤
0,00443375, ,20170630,진도개발
0,00447511, ,20170630,만남과축복
0,00403872, ,20170630,영상산업
0,00243793, ,20170630,카이저산업
0,00441757, ,20170630,쌈솔
0,00445221, ,20170630,링크테크21
0,00448769, ,20170630,건화메디팜
0,00351357, ,20170630,윈윈창업투자
0,00371333, ,20170630,지티웹코리아
0,00392716, ,20170630,트랜스미디어매니지먼트
0,00424398, ,20170630,남성유통
0,00380322, ,20170630,무지개유동화전문유한회사
0,00387264, ,20170630,엘지화학제일차유동화전문유한회사
0,00425379, ,20170630,페가수스캐피탈아시아
0,00421595, ,20170630,한솔케미언스제일차유동화전문유한회사
0,00128564, ,20170630,삼천리M&C
0,00304757, ,20170630,넥스트디앤드에스
0,00407142, ,20170630,드림라인제일차유동화전문유한회사
0,00408044, ,20170630,동국산업제일차유동화전문유한회사
0,00112387, ,20170630,휴먼이노텍
0,00423539, ,20170630,자도
0,00103981, ,20170630,광전자INT
0,00416478, ,20170630,굿케이디비제삼차유동화전문유한회사
0,00418801, ,20170630,신엑스퍼트유동화전문
0,00419332, ,20170630,비발디제일차유동화전문유한회사
0,00418078, ,20170630,두산위브유동화전문유한회사
0,00419651, ,20170630,코오롱폴리스유동화전문유한회사
0,00251695, ,20170630,메디캐피탈
0,00432661, ,20170630,파워외환카드제삼차유동화전문유한회사
0,00430858, ,20170630,에이치에스비프로퍼티원인베스트먼트유동화전문유한회사
0,00432670, ,20170630,서상금속
0,00434827, ,20170630,세이한가족주식형펀드
0,00434872, ,20170630,알파크레디트플러스채권형펀드
0,00434881, ,20170630,알파국공채채권형사모펀드
0,00434906, ,20170630,세이에이스알파혼합형펀드
0,00434915, ,20170630,맥쿼리IMM코리아플러스채권형펀드
0,00434924, ,20170630,맥쿼리IMM마켓뉴트럴혼합형사모펀드
0,00434933, ,20170630,세이원채권형펀드
0,00435093, ,20170630,그레이터차이나1호사모펀드
0,00435109, ,20170630,윌러스
0,00431820, ,20170630,디베스트사모엠엔에이펀드일호
0,00398525, ,20170630,미래에셋프리미어전환혼합형이호펀드
0,00260967, ,20170630,디지텔
0,00378956, ,20170630,유리세이프롱숏채권혼합형펀드
0,00164104, ,20170630,리젠트화재보험
0,00101266, ,20170630,경남리스금융
0,00412834, ,20170630,굿머니
0,00226343, ,20170630,한소닉테크
0,00150147, ,20170630,지산개발
0,00416937, ,20170630,지구환경산업
0,00132497, ,20170630,성도통상
0,00216461, ,20170630,에프샵
0,00369301, ,20170630,근영전자통신
0,00360106, ,20170630,보해주정
0,00183710, ,20170630,영화
0,00410483, ,20170630,윈스텍
0,00409928, ,20170630,조한도시개발
0,00209647, ,20170630,대웅전기산업
0,00370316, ,20170630,해피라인
0,00134246, ,20170630,세원건설
0,00444806, ,20170630,린나이씨에스
0,00233112, ,20170630,성우전자
0,00297758, ,20170630,에스더블유씨코퍼레이션
0,00450986, ,20170630,미도산업개발
0,00442206, ,20170630,덕성섬유
0,00361664, ,20170630,기흥종합건설
0,00370334, ,20170630,이에이치상사
0,00432616, ,20170630,웨이브티브이
0,00444073, ,20170630,축산농협안산연합사료
0,00405436, ,20170630,유니크
0,00414319, ,20170630,송학장갑
0,00261610, ,20170630,위트비전
0,00362432, ,20170630,월드무역
0,00415293, ,20170630,오픈테크
0,00413204, ,20170630,아피아
0,00413277, ,20170630,차세대정보통신
0,00268455, ,20170630,조흥신탁유동화전문회사
0,00273606, ,20170630,오토일천구백구십구의일유동화전문유한회사
0,00303369, ,20170630,한국토지신탁제이차유동화전문유한회사
0,00317043, ,20170630,포커스제1차유동화전문유한회사
0,00328517, ,20170630,베스트이지제일차유동화전문유한회사
0,00341776, ,20170630,모비스코람유동화전문유한회사
0,00362131, ,20170630,아이에스피
0,00427492, ,20170630,한실흥산
0,00363413, ,20170630,아이티엔방송
0,00302829, ,20170630,슈퍼데크코리아
0,00426758, ,20170630,산은부동산제오차유동화전문유한회사
